Timestamp,What's the answer to the above logic puzzle?,My section in M358K (or my friend's or relation's section) is:
11/6/2020 10:10,Yes,12noon
11/6/2020 10:10,No,11am
11/6/2020 10:11,Yes,12noon
11/6/2020 10:11,Yes,11am
11/6/2020 10:12,Yes,11am
11/6/2020 10:13,Cannot be determined,11am
11/6/2020 10:13,Yes,12noon
11/6/2020 10:19,Cannot be determined,11am
11/6/2020 10:19,Cannot be determined,11am
11/6/2020 10:20,Cannot be determined,11am
11/6/2020 10:20,Cannot be determined,12noon
11/6/2020 10:20,Cannot be determined,11am
11/6/2020 10:22,Cannot be determined,11am
11/6/2020 10:23,Cannot be determined,12noon
11/6/2020 10:23,Cannot be determined,11am
11/6/2020 10:24,Cannot be determined,11am
11/6/2020 10:29,Yes,11am
11/6/2020 10:37,Yes,11am
11/6/2020 10:38,Yes,11am
11/6/2020 10:39,Cannot be determined,11am
11/6/2020 10:46,Cannot be determined,12noon
11/6/2020 10:58,Yes,12noon
11/6/2020 11:01,Yes,11am
11/6/2020 11:01,Yes,11am
11/6/2020 11:03,Cannot be determined,12noon
11/6/2020 11:06,Cannot be determined,11am
11/6/2020 11:06,No,11am
11/6/2020 11:08,Yes,11am
11/6/2020 11:13,Yes,11am
11/6/2020 11:13,Cannot be determined,11am
11/6/2020 11:20,Cannot be determined,12noon
11/6/2020 11:43,Yes,11am
11/6/2020 11:55,Cannot be determined,11am
11/6/2020 11:57,Cannot be determined,12noon
11/6/2020 12:02,Cannot be determined,11am
11/6/2020 12:04,Cannot be determined,12noon
11/6/2020 12:05,Yes,12noon
11/6/2020 12:06,Cannot be determined,12noon
11/6/2020 12:20,Yes,11am
11/6/2020 12:23,Cannot be determined,11am
11/6/2020 12:39,Yes,11am
11/6/2020 12:48,No,11am
11/6/2020 12:52,Cannot be determined,12noon
11/6/2020 12:52,Cannot be determined,12noon
11/6/2020 12:53,Yes,12noon
11/6/2020 12:54,Cannot be determined,12noon
11/6/2020 13:36,Yes,12noon
11/6/2020 14:22,Yes,12noon
11/6/2020 14:52,Yes,11am
11/6/2020 15:05,Yes,11am
11/6/2020 15:26,Yes,12noon
11/6/2020 15:48,Yes,12noon
11/6/2020 16:45,Yes,12noon
11/6/2020 18:46,Cannot be determined,11am
11/6/2020 19:23,Cannot be determined,11am
11/6/2020 20:54,Yes,12noon
11/7/2020 0:21,Cannot be determined,12noon
11/7/2020 1:57,Yes,12noon
11/7/2020 8:14,Cannot be determined,12noon
11/7/2020 11:12,Cannot be determined,11am
11/7/2020 13:42,Cannot be determined,12noon
11/7/2020 14:58,Yes,12noon
11/7/2020 17:51,Cannot be determined,11am
11/7/2020 19:45,Yes,12noon
11/7/2020 19:55,Cannot be determined,12noon
11/7/2020 21:32,Cannot be determined,11am
11/8/2020 0:11,Yes,11am
11/8/2020 0:46,Cannot be determined,11am
11/8/2020 3:59,Yes,11am
11/8/2020 9:28,Cannot be determined,12noon
11/8/2020 13:40,Yes,12noon
11/8/2020 13:43,Yes,12noon
11/8/2020 13:43,Cannot be determined,12noon
11/8/2020 14:07,Yes,11am
11/8/2020 18:50,Cannot be determined,11am
11/8/2020 19:08,Cannot be determined,11am
11/8/2020 19:54,Yes,11am
11/8/2020 22:25,Yes,11am
11/8/2020 22:38,No,11am
11/8/2020 23:43,Cannot be determined,12noon
11/9/2020 10:18,Cannot be determined,12noon
11/9/2020 10:25,Cannot be determined,12noon
11/9/2020 10:53,Yes,11am
11/9/2020 10:55,Cannot be determined,11am
11/9/2020 10:57,Yes,11am
11/9/2020 11:05,Cannot be determined,11am
11/9/2020 12:03,Cannot be determined,12noon
11/9/2020 12:04,Cannot be determined,11am
11/9/2020 12:05,Cannot be determined,12noon
11/9/2020 12:48,Cannot be determined,11am
11/9/2020 17:07,Cannot be determined,12noon
11/10/2020 11:31,Yes,11am
