Timestamp,What is your favorite kind of pie?
2016/08/28 6:26:30 PM EST,Berry pie (any kind)
2016/08/28 6:29:47 PM EST,Pecan pie
2016/08/28 6:29:57 PM EST,Apple pie
2016/08/28 6:30:13 PM EST,Pecan pie
2016/08/28 6:30:24 PM EST,Pecan pie
2016/08/28 6:30:33 PM EST,Apple pie
2016/08/28 6:30:40 PM EST,Berry pie (any kind)
2016/08/28 6:30:59 PM EST,Apple pie
2016/08/28 6:32:15 PM EST,Pumpkin pie
2016/08/28 6:32:21 PM EST,Pecan pie
2016/08/28 6:32:43 PM EST,Apple pie
2016/08/28 6:33:49 PM EST,Pumpkin pie
2016/08/28 6:37:04 PM EST,Key lime pie
2016/08/28 6:40:14 PM EST,Pumpkin pie
2016/08/28 6:41:43 PM EST,Cherry pie
2016/08/28 6:44:11 PM EST,Pumpkin pie
2016/08/28 6:44:57 PM EST,Apple pie
2016/08/28 6:47:07 PM EST,Pecan pie
2016/08/28 6:49:18 PM EST,Pecan pie
2016/08/28 6:49:36 PM EST,Pumpkin pie
2016/08/28 6:51:13 PM EST,Berry pie (any kind)
2016/08/28 6:51:44 PM EST,Apple pie
2016/08/28 6:52:07 PM EST,Apple pie
2016/08/28 7:16:40 PM EST,Pumpkin pie
2016/08/28 7:18:19 PM EST,Apple pie
2016/08/28 7:22:18 PM EST,Cherry pie
2016/08/28 7:50:01 PM EST,Chocolate pie
2016/08/28 8:09:32 PM EST,Apple pie
2016/08/28 8:13:16 PM EST,Cream Cheese Pie
2016/08/28 8:35:05 PM EST,Apple pie
2016/08/28 8:39:43 PM EST,Pecan pie
2016/08/28 8:54:52 PM EST,Apple pie
2016/08/28 9:00:20 PM EST,Pizza 
2016/08/28 9:04:11 PM EST,Apple pie
2016/08/28 9:12:26 PM EST,Pecan pie
2016/08/28 9:18:57 PM EST,Apple pie
2016/08/28 9:33:18 PM EST,Pumpkin pie
2016/08/28 9:40:50 PM EST,Pumpkin pie
2016/08/28 10:20:24 PM EST,Buttermilk pie
2016/08/28 10:30:36 PM EST,Apple pie
2016/08/28 10:36:38 PM EST,Pecan pie
2016/08/28 10:36:46 PM EST,Pecan pie
2016/08/28 10:39:42 PM EST,Pumpkin pie
2016/08/28 10:41:57 PM EST,Berry pie (any kind)
2016/08/28 10:50:46 PM EST,Berry pie (any kind)
2016/08/28 11:02:37 PM EST,Apple pie
2016/08/28 11:15:46 PM EST,Apple pie
2016/08/28 11:33:38 PM EST,Cherry pie
2016/08/29 12:09:40 AM EST,Pecan pie
2016/08/29 12:53:31 AM EST,Pecan pie
2016/08/29 1:01:04 AM EST,Apple pie
2016/08/29 2:18:05 AM EST,Berry pie (any kind)
2016/08/29 7:31:06 AM EST,Pecan pie
2016/08/29 8:08:57 AM EST,Pecan pie
